"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","Input","GPIO_Input","DIN_3"
"3","PE4","I/O","",""
"4","PE5","Input","GPIO_Input","DIN_1"
"5","PE6","Input","GPIO_Input","STEPPER_X_NFAULT"
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14-OSC32_IN (OSC32_IN)","I/O","RCC_OSC32_IN",""
"9","PC15-OSC32_OUT (OSC32_OUT)","I/O","RCC_OSC32_OUT",""
"10","PF0","Input","GPIO_Input","DIN_12"
"11","PF1","Input","GPIO_Input","DIN_10"
"12","PF2","Input","GPIO_Input","DIN_8"
"13","PF3","Output","GPIO_Output","DOUT_2"
"14","PF4","I/O","",""
"15","PF5","Output","GPIO_Output","STEPPER_ROT_NSLEEP"
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","Output","GPIO_Output","STEPPER_ROT_STEP"
"19","PF7","Input","GPIO_Input","DIN_7"
"20","PF8","Input","GPIO_Input","DIN_5"
"21","PF9","Input","GPIO_Input","DIN_9"
"22","PF10","Input","GPIO_Input","DIN_2"
"23","PH0-OSC_IN (PH0)","I/O","RCC_OSC_IN",""
"24","PH1-OSC_OUT (PH1)","I/O","RCC_OSC_OUT",""
"25","NRST","Reset","",""
"26","PC0","I/O","",""
"27","PC1","I/O","",""
"28","PC2_C","I/O","",""
"29","PC3_C","I/O","",""
"30","VDD","Power","",""
"31","VSSA","Power","",""
"32","VREF+","MonoIO","",""
"33","VDDA","Power","",""
"34","PA0","Output","GPIO_Output","STEPPER_X_NSLEEP"
"35","PA1","I/O","",""
"36","PA2","I/O","",""
"37","PA3","I/O","",""
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","Output","GPIO_Output","DOUT_3"
"41","PA5","I/O","",""
"42","PA6","I/O","",""
"43","PA7","I/O","",""
"44","PC4","I/O","",""
"45","PC5","I/O","",""
"46","PB0","Output","GPIO_Output","STEPPER_X_STEP"
"47","PB1","I/O","",""
"48","PB2","Input","GPIO_Input","DIN_4"
"49","PF11","I/O","",""
"50","PF12","I/O","",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","I/O","",""
"54","PF14","I/O","",""
"55","PF15","I/O","",""
"56","PG0","I/O","",""
"57","PG1","I/O","",""
"58","PE7","Output","GPIO_Output","STEPPER_Y_ENABLE"
"59","PE8","Input","GPIO_Input","STEPPER_Y_NFAULT"
"60","PE9","Input","GPIO_Input","DIN_6"
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","Output","GPIO_Output","STEPPER_Y_DIR"
"64","PE11","I/O","",""
"65","PE12","Output","GPIO_Output","STEPPER_Y_M1"
"66","PE13","I/O","",""
"67","PE14","I/O","",""
"68","PE15","Output","GPIO_Output","STEPPER_X_ENABLE"
